GL Depth,MS,Mean,GS Age (ka),,,Depth1 (cm),Age (ka),Asian dustREE (%)
0,68.4 ,19.795,2.20 ,,,1,3,27.5
0.02,68.7 ,19.364,2.38 ,,,3,6,27.7
0.04,68.3 ,19.012,2.56 ,,,5,9,28.3
0.06,68.0 ,18.603,2.74 ,,,7,12,27.5
0.08,67.3 ,19.24,2.92 ,,,9,15,36.3
0.1,67.8 ,18.41,3.10 ,,,11,16.3,39.3
0.12,68.2 ,19.169,3.28 ,,,15,18.9,37.1
0.14,68.6 ,19.539,3.45 ,,,,,
0.16,67.2 ,19.204,3.63 ,,,,,
0.18,70.6 ,18.806,3.81 ,,,,,
0.2,82.9 ,18.568,4.00 ,,,,,
0.22,92.4 ,17.659,4.18 ,,,,,
0.24,96.6 ,17.165,4.37 ,,,,,
0.26,99.1 ,16.949,4.56 ,,,,,
0.28,98.0 ,17.029,4.75 ,,,,,
0.3,99.4 ,17.435,4.93 ,,,,,
0.32,99.8 ,18.405,5.11 ,,,,,
0.34,98.9 ,17.399,5.28 ,,,,,
0.36,87.8 ,19.6,5.46 ,,,,,
0.38,78.8 ,18.853,5.63 ,,,,,
0.4,64.8 ,19.445,5.79 ,,,,,
0.42,63.0 ,20.368,5.95 ,,,,,
0.44,75.1 ,21.428,6.10 ,,,,,
0.46,82.6 ,21.732,6.25 ,,,,,
0.48,82.3 ,22.176,6.40 ,,,,,
0.5,82.2 ,21.99,6.54 ,,,,,
0.52,81.7 ,20.814,6.69 ,,,,,
0.54,81.3 ,21.663,6.84 ,,,,,
0.56,82.0 ,21.819,6.99 ,,,,,
0.58,81.9 ,22.468,7.14 ,,,,,
0.6,79.4 ,19.45,7.30 ,,,,,
0.62,76.4 ,19.438,7.46 ,,,,,
0.64,72.2 ,21.81,7.62 ,,,,,
0.66,68.7 ,21.019,7.77 ,,,,,
0.68,65.6 ,20.526,7.92 ,,,,,
0.7,61.3 ,20.924,8.08 ,,,,,
0.72,58.7 ,21.748,8.23 ,,,,,
0.74,58.8 ,21.083,8.38 ,,,,,
0.76,55.9 ,22.892,8.52 ,,,,,
0.78,52.6 ,23.057,8.66 ,,,,,
0.8,52.4 ,23.463,8.80 ,,,,,
0.82,49.8 ,23.063,8.93 ,,,,,
0.84,47.6 ,24.934,9.06 ,,,,,
0.86,44.3 ,27.145,9.18 ,,,,,
0.88,44.2 ,27.405,9.31 ,,,,,
0.9,45.8 ,23.542,9.44 ,,,,,
0.92,47.0 ,24.67,9.57 ,,,,,
