Age1,Sea Level1,,,Age2,Sea Level2
6.27,0,,,1,7.63
1.65,-1.8,,,2,4.01
1.445,-1,,,3,4.35
10.197,-36.3,,,4,3.13
5.325,0,,,5,0
4.02,-0.4,,,6,-4.01
0.85,0,,,7,-6.11
1.245,0.6,,,8,-9.09
7.16,0.9,,,9,-15.83
2.525,0.9,,,10,-24.59
2.095,-1.3,,,11,-35.85
2.49,0.1,,,12,-51.05
9.834,-20.4,,,13,-66.3
9.538,-18.8,,,14,-76.64
9.724,-18.4,,,15,-86
7.609,-2.7,,,16,-98.06
12.732,-71.9,,,17,-107.3
14.182,-77.3,,,18,-113.01
12.638,-66.1,,,19,-116.68
13.305,-68.5,,,20,-117.56
15.135,-86.5,,,21,-120.01
1.181,-0.2,,,22,-125.82
2.529,-0.7,,,23,-128.72
6.115,1.3,,,24,-130
7.413,0.6,,,25,-126.89
8.539,-3.5,,,26,-122.4
6.42,1.1,,,27,-118.28
7.689,0.2,,,28,-115.19
7.854,-0.9,,,29,-110.87
7.182,0.2,,,30,-105.78
7.329,0.6,,,31,-103.5
7.578,2.1,,,32,-100.63
7.669,-3.6,,,33,-97.48
3.35,-0.4,,,34,-97.37
9.471,-19.5,,,35,-98.83
15.857,-101.2,,,36,-99.39
24.038,-136.4,,,37,-95.27
11.95,-56.3,,,38,-93.1
12.231,-53.4,,,39,-90.3
3.761,1.4,,,40,-85.9
,,,,41,-79.76
,,,,42,-75.76
,,,,43,-73.91
,,,,44,-76.18
,,,,45,-74.49
,,,,46,-75.78
,,,,47,-73.7
,,,,48,-76.71
,,,,49,-73.75
,,,,50,-68.3
,,,,51,-63.11
,,,,52,-67.88
,,,,53,-68.85
,,,,54,-70.05
,,,,55,-72.26
,,,,56,-78.03
,,,,57,-82.74
,,,,58,-85.71
,,,,59,-82.94
,,,,60,-84.73
,,,,61,-86.56
,,,,62,-84.32
,,,,63,-84.75
,,,,64,-83.48
,,,,65,-84.72
