Depth sed [m],Depth (cm),Age [ka BP],TC [%],TOC [%],TN [%],?13C Corg,"?13C Corg [ä PDB] (Element Analyser, Eurovector,...)",Terr [%],"<63 µm [%] (Grain size, sieving)",Depth sed [m],Depth (cm),TOC/TN
0.035,3.5,3.416,0.76,0.46,0.08,-22.17,4.42,77.44,98.64,0.035,3.5,6.708333333
0.105,10.5,3.485,0.73,0.38,0.07,-22.39,5.1,85.4,99.55,0.105,10.5,6.333333333
0.155,15.5,3.535,1.18,0.45,0.07,-22.03,4.74,72.44,96.66,0.155,15.5,7.5
0.235,23.5,4.264,0.74,0.37,0.07,-22.14,4.76,76.28,99.71,0.235,23.5,6.166666667
0.335,33.5,4.366,0.91,0.43,0.08,-22.08,4.6,74.21,99.76,0.335,33.5,6.270833333
0.435,43.5,4.431,1.03,0.39,0.08,-21.99,4.98,71.12,99.8,0.435,43.5,5.6875
0.535,53.5,4.5255,1.09,0.42,0.07,-22.1,4.91,74.85,99.69,0.535,53.5,7
0.655,65.5,4.6765,0.97,0.4,0.07,-22.16,4.64,77.2,99.67,0.655,65.5,6.666666667
0.755,75.5,5.464,1.15,0.39,0.08,-22.35,5.11,84.05,99.77,0.755,75.5,5.6875
0.825,82.5,5.887,1.24,0.39,0.08,-21.88,5,67.16,99.9,0.825,82.5,5.6875
0.935,93.5,6.272,0.92,0.38,0.07,-22.15,5.11,76.76,99.66,0.935,93.5,6.333333333
1.035,103.5,6.51,1,0.39,0.07,-22.49,4.57,89.01,99.73,1.035,103.5,6.5
1.145,114.5,6.7145,0.98,0.36,0.07,-22.54,4.98,90.87,99.7,1.145,114.5,6
1.205,120.5,6.794,0.89,0.33,0.07,-22.24,4.76,79.97,99.29,1.205,120.5,5.5
1.335,133.5,6.968,1.08,0.41,0.08,-22.29,5.27,81.82,99.87,1.335,133.5,5.979166667
1.455,145.5,7.086,1.25,0.39,0.07,-22.24,5.33,80.06,99.78,1.455,145.5,6.5
1.565,156.5,7.211,1.03,0.4,0.08,-22.19,5.1,78.39,99.43,1.565,156.5,5.833333333
1.655,165.5,7.3155,1.07,0.42,0.07,-22.16,5.31,77.05,97.62,1.655,165.5,7
1.755,175.5,7.453,0.96,0.49,0.08,-22.23,5.06,79.68,99.82,1.755,175.5,7.145833333
1.835,183.5,7.557,1.85,0.52,0.08,-22.01,5.18,71.77,99.6,1.835,183.5,7.583333333
1.945,194.5,7.7215,1.3,0.43,0.08,-22.35,5.17,83.86,99.88,1.945,194.5,6.270833333
2.045,204.5,7.895,1.68,0.45,0.09,-22.12,5.17,75.86,99.88,2.045,204.5,5.833333333
2.135,213.5,8.118,1.53,0.47,0.08,-22.19,5.33,78.13,99.25,2.135,213.5,6.854166667
2.245,224.5,8.526,1.22,0.4,0.06,-22.01,5.27,71.84,99.62,2.245,224.5,7.777777778
2.335,233.5,8.982,1.67,0.45,0.14,-21.81,5.47,64.77,99.51,2.335,233.5,3.75
2.445,244.5,9.7715,0.77,0.51,0.07,-21.53,5.25,54.61,99.76,2.445,244.5,8.5
2.545,254.5,10.1765,1.37,0.57,0.1,-21.86,5.17,66.38,99.8,2.545,254.5,6.65
2.645,264.5,10.4785,1.49,0.51,0.07,-21.85,5.13,66.1,99.54,2.645,264.5,8.5
2.735,273.5,10.698,1.45,0.47,0.07,-21.8,4.98,64.44,99.59,2.735,273.5,7.833333333
2.805,280.5,10.799,1.58,0.49,0.06,-21.96,5.17,69.92,99.43,2.805,280.5,9.527777778
2.905,290.5,10.9635,1.8,0.5,0.07,-21.71,5.48,61.08,99.6,2.905,290.5,8.333333333
2.985,298.5,11.0725,1.72,0.49,0.07,-21.63,5.15,58.34,99.92,2.985,298.5,8.166666667
3.035,303.5,11.1445,1.79,0.56,0.08,-22.2,4.94,78.74,99.83,3.035,303.5,8.166666667
3.105,310.5,11.2315,1.75,0.47,0.06,-21.94,4.93,69.32,99.62,3.105,310.5,9.138888889
3.205,320.5,11.338,1.73,0.48,0.07,-21.59,5.29,56.8,99.49,3.205,320.5,8
3.305,330.5,11.4825,1.76,0.47,0.07,-21.7,5.16,60.84,99.49,3.305,330.5,7.833333333
3.375,337.5,11.593,1.75,0.46,0.07,-21.86,5.38,66.35,99.13,3.375,337.5,7.666666667
3.445,344.5,11.734,1.62,0.5,0.07,-22.09,5.26,74.53,99.35,3.445,344.5,8.333333333
3.505,350.5,11.8865,1.75,0.58,0.07,-21.75,4.94,62.62,99.13,3.505,350.5,9.666666667
3.585,358.5,12.119,1.45,0.47,0.06,-21.85,5.49,66.06,98.55,3.585,358.5,9.138888889
3.665,366.5,12.5825,1.78,0.47,0.07,-21.82,5.44,64.95,99.11,3.665,366.5,7.833333333
3.755,375.5,13.2835,1.58,0.59,0.08,-21.57,3.19,55.94,99.48,3.755,375.5,8.604166667
3.805,380.5,13.2955,1.58,0.6,0.07,-21.46,1.83,52.25,99.88,3.805,380.5,10
3.905,390.5,13.3365,1.67,0.57,0.07,-21.34,5.23,47.78,99.94,3.905,390.5,9.5
4.005,400.5,13.375,1.72,0.51,0.07,-21.26,4.96,44.97,99.94,4.005,400.5,8.5
4.105,410.5,13.4095,1.78,0.53,0.06,-21.34,5.34,47.83,99.73,4.105,410.5,10.30555556
4.205,420.5,13.44,1.81,0.58,0.07,-21.45,0.39,51.62,99.82,4.205,420.5,9.666666667
4.305,430.5,13.4655,1.8,0.56,0.06,-21.35,1.43,48.36,99.79,4.305,430.5,10.88888889
4.405,440.5,13.4915,1.79,0.57,0.06,-21.5,0.68,53.56,99.66,4.405,440.5,11.08333333
4.485,448.5,13.51,1.82,0.56,0.06,-21.42,4.98,50.87,99.43,4.485,448.5,10.88888889
4.535,453.5,13.525,1.81,0.56,0.07,-21.54,5.36,54.94,99.6,4.535,453.5,9.333333333
4.605,460.5,13.54,1.92,0.55,0.07,-21.29,5.21,46.21,99.22,4.605,460.5,9.166666667
4.705,470.5,13.563,1.52,0.55,0.05,-21.31,5.47,46.72,98.96,4.705,470.5,12.83333333
4.805,480.5,13.5905,2.05,0.6,0.07,-21.31,1.99,46.66,98.85,4.805,480.5,10
4.905,490.5,13.6185,1.69,0.51,0.06,-21.33,2.28,47.68,98.87,4.905,490.5,9.916666667
5.005,500.5,13.645,1.86,0.54,0.07,-21.25,1.69,44.6,98.95,5.005,500.5,9
5.105,510.5,13.675,1.81,0.59,0.06,-21.3,2.07,46.61,99.48,5.105,510.5,11.47222222
5.205,520.5,13.703,1.69,0.5,0.07,-21.35,2.14,48.23,96.74,5.205,520.5,8.333333333
5.285,528.5,13.729,1.38,0.59,0.05,-21.29,1.93,46.22,99.43,5.285,528.5,13.76666667
5.355,535.5,13.7545,2.35,0.6,0.09,-21.39,1.76,49.77,99.3,5.355,535.5,7.777777778
5.425,542.5,13.777,1.4,0.74,0.06,-21.22,1.79,43.41,98.67,5.425,542.5,14.38888889
5.505,550.5,13.802,1.66,0.59,0.08,-21.27,1.82,45.44,99.45,5.505,550.5,8.604166667
5.565,556.5,13.86,1.44,0.64,0.06,-21.26,1.76,45.09,99.46,5.565,556.5,12.44444444
5.645,564.5,14.025,1.72,0.59,0.07,-21.34,0.89,48.01,99.51,5.645,564.5,9.833333333
5.695,569.5,14.1055,1.23,0.6,0.07,-21.21,2.6,43.12,99.85,5.695,569.5,10
5.775,577.5,14.2085,1.5,0.53,0.06,-21.39,1.99,49.76,99.07,5.775,577.5,10.30555556
5.855,585.5,14.291,1.51,0.61,0.07,-21.23,2.57,43.84,99.51,5.855,585.5,10.16666667
5.925,592.5,14.3475,1.59,0.55,0.07,-21.22,1.81,43.63,99.49,5.925,592.5,9.166666667
6.015,601.5,14.4285,1.65,0.61,0.08,-21.15,2.79,41.24,99.43,6.015,601.5,8.895833333
6.105,610.5,14.4815,1.47,0.63,0.07,-21.17,2.46,41.94,99.82,6.105,610.5,10.5
6.195,619.5,14.5475,1.41,0.62,0.07,-21.13,3.05,40.21,99.19,6.195,619.5,10.33333333
6.285,628.5,14.633,1.61,0.65,0.07,-21.16,2.49,41.27,99.35,6.285,628.5,10.83333333
6.385,638.5,14.6975,1.46,0.65,0.08,-21.19,2.32,42.53,99.45,6.385,638.5,9.479166667
6.505,650.5,14.7685,1.56,0.61,0.08,-21.02,2.49,36.52,99.72,6.505,650.5,8.895833333
6.605,660.5,14.8355,1.42,0.63,0.07,-21.07,2.15,38.08,99.4,6.605,660.5,10.5
6.705,670.5,14.8965,1.18,0.62,0.08,-21.08,1.7,38.47,98.93,6.705,670.5,9.041666667
6.805,680.5,14.967,1.66,0.6,0.08,-21.14,2.25,40.59,97,6.805,680.5,8.75
6.905,690.5,15.0375,2.06,0.61,0.1,-21.05,2.16,37.5,99.73,6.905,690.5,7.116666667
7.005,700.5,15.1125,1.8,0.68,0.1,-21.02,2.14,36.29,99.72,7.005,700.5,7.933333333
7.105,710.5,15.177,1.63,0.64,0.1,-21.01,2.63,35.9,99.7,7.105,710.5,7.466666667
7.205,720.5,15.2425,1.62,0.62,0.1,-20.99,2.45,35.52,99.22,7.205,720.5,7.233333333
7.295,729.5,15.307,1.38,0.62,0.08,-21.16,2.33,41.33,99.51,7.295,729.5,9.041666667
7.405,740.5,15.3885,1.22,0.57,0.08,-21.19,1.89,42.5,99.58,7.405,740.5,8.3125
7.485,748.5,15.4405,1.5,0.36,0.09,-22.19,1.58,78.12,99.63,7.485,748.5,4.666666667
7.515,751.5,15.4625,1.56,0.61,0.08,-21.01,2.78,36.23,99.55,7.515,751.5,8.895833333
7.605,760.5,15.525,1.46,0.57,0.08,-21.05,2.17,37.61,99.68,7.605,760.5,8.3125
7.705,770.5,15.5725,1.52,0.62,0.09,-21.06,2.57,37.89,99.69,7.705,770.5,8.037037037
7.805,780.5,15.6465,1.57,0.63,0.09,-20.88,2.66,31.41,99.77,7.805,780.5,8.166666667
7.905,790.5,15.7205,1.62,0.65,0.09,-20.96,2.37,34.11,99.66,7.905,790.5,8.425925926
8.005,800.5,15.8025,1.46,0.59,0.08,-21.11,3.74,39.81,99.87,8.005,800.5,8.604166667
8.105,810.5,15.8815,1.52,0.61,0.09,-20.95,4.48,34.02,99.38,8.105,810.5,7.907407407
8.205,820.5,15.9715,1.49,0.67,0.1,-20.97,4.03,34.47,99.25,8.205,820.5,7.816666667
8.335,833.5,16.082,1.28,0.64,0.09,-20.79,3.28,28.38,99.75,8.335,833.5,8.296296296
8.435,843.5,16.1965,1.62,0.64,0.1,-20.28,2.92,9.87,99.64,8.435,843.5,7.466666667
8.535,853.5,16.328,1.5,0.65,0.1,-20.14,2.06,5.01,87.08,8.535,853.5,7.583333333
8.575,857.5,16.3795,1.17,0.63,0.11,-19.31,1.94,-24.62,97.34,8.575,857.5,6.681818182
8.605,860.5,16.429,1.69,0.6,0.09,-21.19,2.9,42.44,99.83,8.605,860.5,7.777777778
8.705,870.5,16.565,2.01,0.65,0.09,-21,2.66,35.64,97.43,8.705,870.5,8.425925926
8.805,880.5,16.653,1.56,0.66,0.09,-20.69,2.35,24.8,99.37,8.805,880.5,8.555555556
8.905,890.5,16.757,1.45,0.64,0.1,-20.69,2.87,24.69,99.28,8.905,890.5,7.466666667
