Depth (cm),Depth sed [m],Age [ka BP],TC [%],TOC [%],TN [%],δ13C Corg,δ15N,Terr [%] (δ13C Fterr (%)),"<63 µm [%] (Grain size, sieving)",TOC/TN
3.5,0.035,3.416,0.76,0.46,0.08,-22.17,4.42,77.44,98.64,6.708333333
10.5,0.105,3.485,0.73,0.38,0.07,-22.39,5.1,85.4,99.55,6.333333333
15.5,0.155,3.535,1.18,0.45,0.07,-22.03,4.74,72.44,96.66,7.5
23.5,0.235,4.264,0.74,0.37,0.07,-22.14,4.76,76.28,99.71,6.166666667
33.5,0.335,4.366,0.91,0.43,0.08,-22.08,4.6,74.21,99.76,6.270833333
43.5,0.435,4.431,1.03,0.39,0.08,-21.99,4.98,71.12,99.8,5.6875
53.5,0.535,4.5255,1.09,0.42,0.07,-22.1,4.91,74.85,99.69,7
65.5,0.655,4.6765,0.97,0.4,0.07,-22.16,4.64,77.2,99.67,6.666666667
75.5,0.755,5.464,1.15,0.39,0.08,-22.35,5.11,84.05,99.77,5.6875
82.5,0.825,5.887,1.24,0.39,0.08,-21.88,5,67.16,99.9,5.6875
93.5,0.935,6.272,0.92,0.38,0.07,-22.15,5.11,76.76,99.66,6.333333333
103.5,1.035,6.51,1,0.39,0.07,-22.49,4.57,89.01,99.73,6.5
114.5,1.145,6.7145,0.98,0.36,0.07,-22.54,4.98,90.87,99.7,6
120.5,1.205,6.794,0.89,0.33,0.07,-22.24,4.76,79.97,99.29,5.5
133.5,1.335,6.968,1.08,0.41,0.08,-22.29,5.27,81.82,99.87,5.979166667
145.5,1.455,7.086,1.25,0.39,0.07,-22.24,5.33,80.06,99.78,6.5
156.5,1.565,7.211,1.03,0.4,0.08,-22.19,5.1,78.39,99.43,5.833333333
165.5,1.655,7.3155,1.07,0.42,0.07,-22.16,5.31,77.05,97.62,7
175.5,1.755,7.453,0.96,0.49,0.08,-22.23,5.06,79.68,99.82,7.145833333
183.5,1.835,7.557,1.85,0.52,0.08,-22.01,5.18,71.77,99.6,7.583333333
194.5,1.945,7.7215,1.3,0.43,0.08,-22.35,5.17,83.86,99.88,6.270833333
204.5,2.045,7.895,1.68,0.45,0.09,-22.12,5.17,75.86,99.88,5.833333333
213.5,2.135,8.118,1.53,0.47,0.08,-22.19,5.33,78.13,99.25,6.854166667
224.5,2.245,8.526,1.22,0.4,0.06,-22.01,5.27,71.84,99.62,7.777777778
233.5,2.335,8.982,1.67,0.45,0.14,-21.81,5.47,64.77,99.51,3.75
244.5,2.445,9.7715,0.77,0.51,0.07,-21.53,5.25,54.61,99.76,8.5
254.5,2.545,10.1765,1.37,0.57,0.1,-21.86,5.17,66.38,99.8,6.65
264.5,2.645,10.4785,1.49,0.51,0.07,-21.85,5.13,66.1,99.54,8.5
273.5,2.735,10.698,1.45,0.47,0.07,-21.8,4.98,64.44,99.59,7.833333333
280.5,2.805,10.799,1.58,0.49,0.06,-21.96,5.17,69.92,99.43,9.527777778
290.5,2.905,10.9635,1.8,0.5,0.07,-21.71,5.48,61.08,99.6,8.333333333
298.5,2.985,11.0725,1.72,0.49,0.07,-21.63,5.15,58.34,99.92,8.166666667
303.5,3.035,11.1445,1.79,0.56,0.08,-22.2,4.94,78.74,99.83,8.166666667
310.5,3.105,11.2315,1.75,0.47,0.06,-21.94,4.93,69.32,99.62,9.138888889
320.5,3.205,11.338,1.73,0.48,0.07,-21.59,5.29,56.8,99.49,8
330.5,3.305,11.4825,1.76,0.47,0.07,-21.7,5.16,60.84,99.49,7.833333333
337.5,3.375,11.593,1.75,0.46,0.07,-21.86,5.38,66.35,99.13,7.666666667
344.5,3.445,11.734,1.62,0.5,0.07,-22.09,5.26,74.53,99.35,8.333333333
350.5,3.505,11.8865,1.75,0.58,0.07,-21.75,4.94,62.62,99.13,9.666666667
358.5,3.585,12.119,1.45,0.47,0.06,-21.85,5.49,66.06,98.55,9.138888889
366.5,3.665,12.5825,1.78,0.47,0.07,-21.82,5.44,64.95,99.11,7.833333333
375.5,3.755,13.2835,1.58,0.59,0.08,-21.57,3.19,55.94,99.48,8.604166667
380.5,3.805,13.2955,1.58,0.6,0.07,-21.46,1.83,52.25,99.88,10
390.5,3.905,13.3365,1.67,0.57,0.07,-21.34,5.23,47.78,99.94,9.5
400.5,4.005,13.375,1.72,0.51,0.07,-21.26,4.96,44.97,99.94,8.5
410.5,4.105,13.4095,1.78,0.53,0.06,-21.34,5.34,47.83,99.73,10.30555556
420.5,4.205,13.44,1.81,0.58,0.07,-21.45,0.39,51.62,99.82,9.666666667
430.5,4.305,13.4655,1.8,0.56,0.06,-21.35,1.43,48.36,99.79,10.88888889
440.5,4.405,13.4915,1.79,0.57,0.06,-21.5,0.68,53.56,99.66,11.08333333
448.5,4.485,13.51,1.82,0.56,0.06,-21.42,4.98,50.87,99.43,10.88888889
453.5,4.535,13.525,1.81,0.56,0.07,-21.54,5.36,54.94,99.6,9.333333333
460.5,4.605,13.54,1.92,0.55,0.07,-21.29,5.21,46.21,99.22,9.166666667
470.5,4.705,13.563,1.52,0.55,0.05,-21.31,5.47,46.72,98.96,12.83333333
480.5,4.805,13.5905,2.05,0.6,0.07,-21.31,1.99,46.66,98.85,10
490.5,4.905,13.6185,1.69,0.51,0.06,-21.33,2.28,47.68,98.87,9.916666667
500.5,5.005,13.645,1.86,0.54,0.07,-21.25,1.69,44.6,98.95,9
510.5,5.105,13.675,1.81,0.59,0.06,-21.3,2.07,46.61,99.48,11.47222222
520.5,5.205,13.703,1.69,0.5,0.07,-21.35,2.14,48.23,96.74,8.333333333
528.5,5.285,13.729,1.38,0.59,0.05,-21.29,1.93,46.22,99.43,13.76666667
535.5,5.355,13.7545,2.35,0.6,0.09,-21.39,1.76,49.77,99.3,7.777777778
542.5,5.425,13.777,1.4,0.74,0.06,-21.22,1.79,43.41,98.67,14.38888889
550.5,5.505,13.802,1.66,0.59,0.08,-21.27,1.82,45.44,99.45,8.604166667
556.5,5.565,13.86,1.44,0.64,0.06,-21.26,1.76,45.09,99.46,12.44444444
564.5,5.645,14.025,1.72,0.59,0.07,-21.34,0.89,48.01,99.51,9.833333333
569.5,5.695,14.1055,1.23,0.6,0.07,-21.21,2.6,43.12,99.85,10
577.5,5.775,14.2085,1.5,0.53,0.06,-21.39,1.99,49.76,99.07,10.30555556
585.5,5.855,14.291,1.51,0.61,0.07,-21.23,2.57,43.84,99.51,10.16666667
592.5,5.925,14.3475,1.59,0.55,0.07,-21.22,1.81,43.63,99.49,9.166666667
601.5,6.015,14.4285,1.65,0.61,0.08,-21.15,2.79,41.24,99.43,8.895833333
610.5,6.105,14.4815,1.47,0.63,0.07,-21.17,2.46,41.94,99.82,10.5
619.5,6.195,14.5475,1.41,0.62,0.07,-21.13,3.05,40.21,99.19,10.33333333
628.5,6.285,14.633,1.61,0.65,0.07,-21.16,2.49,41.27,99.35,10.83333333
638.5,6.385,14.6975,1.46,0.65,0.08,-21.19,2.32,42.53,99.45,9.479166667
650.5,6.505,14.7685,1.56,0.61,0.08,-21.02,2.49,36.52,99.72,8.895833333
660.5,6.605,14.8355,1.42,0.63,0.07,-21.07,2.15,38.08,99.4,10.5
670.5,6.705,14.8965,1.18,0.62,0.08,-21.08,1.7,38.47,98.93,9.041666667
680.5,6.805,14.967,1.66,0.6,0.08,-21.14,2.25,40.59,97,8.75
690.5,6.905,15.0375,2.06,0.61,0.1,-21.05,2.16,37.5,99.73,7.116666667
700.5,7.005,15.1125,1.8,0.68,0.1,-21.02,2.14,36.29,99.72,7.933333333
710.5,7.105,15.177,1.63,0.64,0.1,-21.01,2.63,35.9,99.7,7.466666667
720.5,7.205,15.2425,1.62,0.62,0.1,-20.99,2.45,35.52,99.22,7.233333333
729.5,7.295,15.307,1.38,0.62,0.08,-21.16,2.33,41.33,99.51,9.041666667
740.5,7.405,15.3885,1.22,0.57,0.08,-21.19,1.89,42.5,99.58,8.3125
