Depth (cm),Age (ka),Mn (cps),Fe (cps),Br (cps),Ti (cps),K (cps),log(Mn/Fe),Log(Br/Ti)
7,90,2534,187205,963,6272,9019,-1.87,-0.81
8,99,3154,222079,843,7719,12357,-1.85,-0.96
9,108,3204,221290,956,7975,12395,-1.84,-0.92
10,117,3407,205705,877,7604,12372,-1.78,-0.94
11,123.5,3183,214661,898,7779,12295,-1.83,-0.94
12,128,3075,212528,803,8003,12290,-1.84,-1.00
13,135,3238,213583,795,7893,12588,-1.82,-1.00
14,144,3106,225672,866,7783,11943,-1.86,-0.95
15,154,2973,225190,839,7952,11835,-1.88,-0.98
16,168,2991,223980,923,7849,10842,-1.87,-0.93
17,182,2895,216305,802,7773,10641,-1.87,-0.99
18,196.5,3122,220351,939,7729,11559,-1.85,-0.92
19,211,3063,223646,879,7728,10978,-1.86,-0.94
20,224.5,2913,224120,777,7550,10808,-1.89,-0.99
21,237.5,3254,231417,825,7805,11659,-1.85,-0.98
22,253,2684,221259,814,7951,11173,-1.92,-0.99
23,264,2543,233029,847,8069,12121,-1.96,-0.98
24,271.5,2821,234586,891,7600,11010,-1.92,-0.93
25,279,2748,242802,955,7828,11287,-1.95,-0.91
26,286.5,2850,234904,733,7773,11213,-1.92,-1.03
27,293.5,2810,240198,777,8021,11262,-1.93,-1.01
28,302,2725,243272,719,7953,11977,-1.95,-1.04
29,309.5,2791,241272,700,8154,11106,-1.94,-1.07
30,317.5,2774,229971,801,8130,11482,-1.92,-1.01
31,328,2719,225715,888,8143,11175,-1.92,-0.96
32,332.5,2686,228947,764,8019,11281,-1.93,-1.02
33,335.5,2782,244216,921,8012,11201,-1.94,-0.94
34,345.5,2616,240257,800,8756,11800,-1.96,-1.04
35,349.5,2746,248280,857,8558,11127,-1.96,-1.00
36,352.5,2640,235955,792,8242,11673,-1.95,-1.02
37,361.5,2738,243621,737,8818,12078,-1.95,-1.08
38,365,2698,240766,863,8319,11800,-1.95,-0.98
39,367.5,2661,235157,821,8413,11813,-1.95,-1.01
40,373,2467,236885,745,8203,12198,-1.98,-1.04
41,377.5,2578,242614,643,8195,12299,-1.97,-1.11
42,382.5,2755,244139,758,8530,12363,-1.95,-1.05
43,388.5,2687,247394,726,8858,12567,-1.96,-1.09
44,398.5,2658,247383,781,8867,12379,-1.97,-1.06
45,407,2721,254066,862,8566,12041,-1.97,-1.00
46,410,2847,249182,873,8537,12095,-1.94,-0.99
47,414,2741,251493,803,8568,12093,-1.96,-1.03
48,418.5,2910,241454,840,8720,11626,-1.92,-1.02
49,423,2744,231850,900,8260,11071,-1.93,-0.96
50,425.5,2844,234629,827,8191,11674,-1.92,-1.00
51,428.5,2836,245930,762,8475,12133,-1.94,-1.05
52,434,2943,239376,921,8911,12018,-1.91,-0.99
53,439.5,3114,230902,911,8960,12272,-1.87,-0.99
54,445.5,3183,243463,670,9271,12255,-1.88,-1.14
55,452.5,3149,244162,680,9170,12634,-1.89,-1.13
56,455.5,2793,252399,828,9213,12776,-1.96,-1.05
57,459,2816,243101,786,9063,12758,-1.94,-1.06
58,465.5,2915,244414,641,8874,12657,-1.92,-1.14
59,472,2900,247296,811,8939,12934,-1.93,-1.04
60,477,2783,246843,804,8553,12390,-1.95,-1.03
61,479,3096,246646,828,8669,12177,-1.90,-1.02
62,482.5,3570,240907,791,8930,12417,-1.83,-1.05
63,487.5,4007,239317,649,8835,12461,-1.78,-1.13
64,494.5,2819,246338,716,8323,11864,-1.94,-1.07
65,496.5,2947,250657,872,9039,12535,-1.93,-1.02
66,500.5,2897,235326,595,8283,11481,-1.91,-1.14
67,507,2652,236693,680,7981,11233,-1.95,-1.07
68,511.5,2588,236349,812,8240,11493,-1.96,-1.01
69,518,2538,242210,758,8441,11794,-1.98,-1.05
70,526.5,2551,234502,694,8236,11132,-1.96,-1.07
71,528.5,2168,188997,843,5947,7512,-1.94,-0.85
72,531,1906,144151,704,4848,6256,-1.88,-0.84
73,535,2594,206191,819,7222,9705,-1.90,-0.95
74,538.5,2716,241719,761,8648,11368,-1.95,-1.06
75,542,2644,248086,770,8788,11533,-1.97,-1.06
76,546,2777,239502,862,8454,11142,-1.94,-0.99
77,554,2952,215389,634,7831,10034,-1.86,-1.09
78,558.5,2256,183842,747,6461,8549,-1.91,-0.94
79,561,1994,156207,589,5235,7093,-1.89,-0.95
80,565.5,2139,172704,584,5835,7936,-1.91,-1.00
81,571.5,2499,211732,934,7042,10574,-1.93,-0.88
82,578,2708,224159,766,8016,11657,-1.92,-1.02
83,580.5,3080,221929,735,8138,11449,-1.86,-1.04
84,584.5,2666,221228,703,7633,11762,-1.92,-1.04
85,589.5,2615,232076,694,8153,12158,-1.95,-1.07
86,592.5,2643,237848,802,7954,12305,-1.95,-1.00
87,599,2562,223027,691,7508,11341,-1.94,-1.04
88,607,2127,193599,729,5951,8799,-1.96,-0.91
89,609.5,2385,203313,812,6543,9450,-1.93,-0.91
90,613.5,2848,224007,825,7400,11268,-1.90,-0.95
91,619.5,2951,238451,750,8048,12041,-1.91,-1.03
92,624,2648,237603,713,8305,12206,-1.95,-1.07
93,628,2844,238497,677,8402,12778,-1.92,-1.09
94,631.5,2687,233523,712,8123,11860,-1.94,-1.06
95,637,2806,220817,768,7672,10385,-1.90,-1.00
96,639.5,2809,232975,754,7948,11363,-1.92,-1.02
97,642.5,2689,234696,697,8182,11740,-1.94,-1.07
98,648.5,2953,241036,598,8592,11887,-1.91,-1.16
99,654.5,2903,235739,785,7976,11459,-1.91,-1.01
100,659.5,2811,231154,649,7823,11328,-1.92,-1.08
101,661.5,3045,234535,787,7835,11857,-1.89,-1.00
102,663,2790,240497,647,8010,11314,-1.94,-1.09
103,665.5,2781,236861,738,8241,11130,-1.93,-1.05
104,668.5,3134,227525,553,8492,10709,-1.86,-1.19
105,677.5,4323,214071,755,7756,11345,-1.69,-1.01
106,686.5,2922,218729,696,7881,10927,-1.87,-1.05
107,688.5,2942,233807,710,8229,11464,-1.90,-1.06
108,692.5,3218,237520,742,8191,12057,-1.87,-1.04
109,696,3129,238635,696,8046,11518,-1.88,-1.06
110,702,2916,238788,596,7981,11592,-1.91,-1.13
111,705,3205,220031,618,7103,9456,-1.84,-1.06
112,708,3071,235215,653,7635,10897,-1.88,-1.07
113,714,3175,247365,750,8293,11857,-1.89,-1.04
114,718,3078,245881,552,8608,12171,-1.90,-1.19
115,722.5,2782,223020,700,7906,10275,-1.90,-1.05
116,729,3091,234468,708,8522,10784,-1.88,-1.08
117,733,3029,218907,595,7934,11208,-1.86,-1.12
118,736.5,3640,231982,709,8173,10872,-1.80,-1.06
119,740.5,3232,226315,799,7818,11195,-1.85,-0.99
120,744,2917,245304,690,8378,12967,-1.92,-1.08
121,747.5,2910,249879,638,8934,12889,-1.93,-1.15
122,752.5,3084,248514,562,9438,12446,-1.91,-1.23
123,757.5,3720,237547,558,9033,12164,-1.81,-1.21
124,761.5,4673,232179,712,8740,12100,-1.70,-1.09
125,763.5,3362,239503,584,8971,12048,-1.85,-1.19
126,770.5,2649,230326,718,8182,10557,-1.94,-1.06
127,775,3373,231375,710,8440,12047,-1.84,-1.08
128,777,3186,237207,576,8700,12366,-1.87,-1.18
129,784.5,2839,208151,772,7471,9490,-1.87,-0.99
130,790.5,2629,207170,1028,6465,8115,-1.90,-0.80
131,792.5,3334,217782,902,7718,9567,-1.82,-0.93
132,795,2982,224639,683,7984,10628,-1.88,-1.07
133,799.5,2752,237068,622,8312,11283,-1.94,-1.13
134,806,2874,242808,731,8751,11768,-1.93,-1.08
135,808,2856,246733,588,9106,12284,-1.94,-1.19
136,812,3036,254446,729,9306,12804,-1.92,-1.11
137,817,2708,252805,716,9110,12755,-1.97,-1.10
138,822.5,2998,262614,630,9594,13397,-1.94,-1.18
139,825.5,3601,254714,443,9865,12801,-1.85,-1.35
140,827,3316,254253,448,10128,12542,-1.88,-1.35
141,830.5,4170,238082,428,9081,12204,-1.76,-1.33
142,838.5,3133,208092,718,7534,10381,-1.82,-1.02
143,848.5,2425,197964,745,6792,9971,-1.91,-0.96
144,850.5,2703,230259,713,8124,12363,-1.93,-1.06
145,855.5,2790,230597,580,8036,11700,-1.92,-1.14
146,862,2860,246736,657,8778,12737,-1.94,-1.13
147,865,3052,247486,661,8556,12272,-1.91,-1.11
158,923,2001,140871,524,4632,6319,-1.85,-0.95
159,931.5,2349,168048,509,5788,7907,-1.85,-1.06
160,939,2204,198321,475,6634,8989,-1.95,-1.15
161,946,2141,219913,635,7168,10216,-2.01,-1.05
162,953,2588,209211,607,7226,10124,-1.91,-1.08
163,960.5,2742,215947,677,7522,10367,-1.90,-1.05
164,968.5,2445,233003,517,7747,10766,-1.98,-1.18
165,974.5,2829,222161,600,7979,10695,-1.90,-1.12
166,981.5,2537,214952,617,7655,10401,-1.93,-1.09
167,988,2566,217336,538,7602,10266,-1.93,-1.15
168,992,2605,229983,695,7828,11023,-1.95,-1.05
169,998,2606,238922,654,7956,10603,-1.96,-1.09
