Age,Sea Level
1,7.63
2,4.01
3,4.35
4,3.13
5,0
6,-4.01
7,-6.11
8,-9.09
9,-15.83
10,-24.59
11,-35.85
12,-51.05
13,-66.3
14,-76.64
15,-86
16,-98.06
17,-107.3
18,-113.01
19,-116.68
20,-117.56
21,-120.01
22,-125.82
23,-128.72
24,-130
25,-126.89
26,-122.4
27,-118.28
28,-115.19
29,-110.87
30,-105.78
31,-103.5
32,-100.63
33,-97.48
34,-97.37
35,-98.83
36,-99.39
37,-95.27
38,-93.1
39,-90.3
40,-85.9
41,-79.76
42,-75.76
43,-73.91
44,-76.18
45,-74.49
46,-75.78
47,-73.7
48,-76.71
49,-73.75
50,-68.3
51,-63.11
52,-67.88
53,-68.85
54,-70.05
55,-72.26
56,-78.03
57,-82.74
58,-85.71
59,-82.94
60,-84.73
61,-86.56
62,-84.32
63,-84.75
64,-83.48
65,-84.72
